Subject,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19
Subject_0,0.885765,-0.71420956,-0.92401755,0.9557482,-0.15129139,-1.0399079,1.1388408,-0.8399282,-0.7990962,-0.10522366,0.91363573,-1.2355205,-0.7223813,-1.1906246,0.6779372,0.71901256,-0.7432005,-0.66213936,-0.5788828,-0.95230836
Subject_1,1.1240786,0.7372546,-1.2213814,0.20735727,-1.0680962,0.8570162,-1.0523256,0.61491805,0.6836956,-0.39752787,-0.95857817,0.4187209,0.73160696,0.40204272,-0.4167806,-1.0294445,1.2708751,-0.5827956,-0.0913377,0.88925713
Subject_2,-0.6661723,-0.54891473,-0.8590541,0.5936996,-0.60671073,-0.58419305,0.50617176,-0.6409489,-0.844924,0.46024585,0.045015056,-0.9122326,0.100052826,-0.6639952,1.1496809,0.52131945,0.16255692,0.83889556,0.86528563,-0.8478957
Subject_3,-1.432781,0.62739795,0.53995895,0.4735028,-0.5069283,-0.86197656,0.28536093,-0.8267714,0.8669532,0.9463914,0.21715112,-1.9024726,-0.12655655,-0.48868036,-0.28665757,-0.6503068,0.3581166,0.91556346,1.1717517,0.5825633
Subject_4,-1.3263826,0.6703497,0.8067408,0.66159546,-0.61005986,1.0167655,0.9245959,-0.8283495,-0.8224974,-0.49378952,-1.3393464,0.978992,0.29515293,-0.05912846,1.1266699,1.1822798,-0.10729336,0.15596664,-0.6133189,0.2492935
Subject_5,0.6953661,-1.4562508,-0.77082217,-0.5937217,1.2162833,-1.0026944,-0.6375358,0.51218617,0.7699938,0.11412917,0.027547179,-0.29451966,0.5002766,0.5837691,-1.1525842,0.57712084,0.56507665,-1.1967772,0.31203106,-0.68766105
Subject_6,-0.2605737,-1.3394191,-0.042190082,-1.1676099,0.9659357,0.081425734,-0.907811,0.80744815,0.9988889,1.2405474,-1.6975566,-0.6465201,-0.17982854,0.066901125,-0.9827152,-0.9368164,-0.52658683,-0.2909806,-0.628255,-1.3861064
Subject_7,0.95549077,-0.14011648,-0.7717138,0.11875637,-0.9712193,0.6862743,0.6348634,0.7346669,0.7879197,1.1033844,0.56372535,0.58461976,-0.927249,-0.15570854,-1.4100049,0.6979173,1.1761882,-0.58170176,0.48662513,0.5444035
Subject_8,0.68521374,0.5124908,0.8998622,-0.84743017,0.7068516,-0.8388178,-1.0662038,-1.1243787,-0.85370797,-0.53014636,-0.58845735,-0.4957947,-0.8487025,-0.82718,-1.0723531,-1.1721948,0.46431503,0.98249394,-0.6957058,0.71880096
Subject_9,-0.6810338,-0.2827481,0.114506856,-1.3331593,0.8746476,1.0450222,1.1474487,-0.8048196,-0.91049033,-0.06611982,-0.6626556,0.52685285,-0.74965435,0.69889396,-0.8605919,0.44039148,0.96972555,-1.2999496,-0.57605964,0.40641063
Subject_10,1.2156812,0.68104434,0.90955585,0.75305694,-0.38552535,0.41944325,-0.8018054,0.9287985,-0.5989388,-0.73453796,-0.39381316,-0.2529365,0.235693,1.1103586,0.9177133,0.8930697,1.0903531,-1.4790488,0.41156092,0.059661258
Subject_11,-0.69737977,-0.10311167,0.83363575,-0.10356821,-0.81118935,0.41657084,0.35025227,0.30792752,-1.0050997,-1.1400104,-0.106549755,1.0296552,-0.7134117,0.54551417,0.5436122,1.2136912,0.93605494,1.0007706,0.71247137,1.460128
Subject_12,1.1002263,0.35535526,-0.9775527,-1.3311973,1.479193,-0.5679122,-0.3440163,0.14201955,-0.9776006,0.5439421,-0.70324826,1.3209832,-1.0206474,-0.78924024,-0.8252365,-0.8069536,-1.0172501,-0.32631704,-0.8749572,-0.56714755
Subject_13,-0.26126122,-0.697616,0.022814795,0.9940527,0.5157859,-0.81484073,0.49059814,-1.1670883,0.6068838,0.3290342,1.2804145,-0.5076262,0.77232105,-0.6368114,0.7797499,1.0782875,-0.8436768,1.147621,1.002058,0.60342574
Subject_14,-0.54275113,0.7038357,-0.04604771,-0.711576,-0.85206735,-0.69560605,0.48330003,0.62991005,0.80571645,-0.8844108,0.84261113,-1.1063287,0.48005056,-0.18452218,0.40986258,0.46075356,0.6404562,-1.364952,0.41231912,0.74194056
Subject_15,1.0343734,-0.87160987,-1.0070767,-0.8842787,-0.15385056,0.45698953,-0.50232184,0.9182902,0.5089116,1.15016,-1.2081586,0.9393777,-0.77715087,-0.10913019,-1.1284491,-0.32456067,0.83804244,-1.0120943,-0.08624504,-0.9485269
Subject_16,1.0137174,1.035148,0.6597439,-0.8214072,-0.7997109,1.2692769,0.43567723,0.6477729,-0.6097683,-0.15142341,0.50186706,-0.9767334,0.9642064,-0.07221972,-0.8236623,0.21995917,0.11666434,-0.83107036,0.86279684,-0.92651767
Subject_17,-0.94593847,0.60471785,-0.053539257,0.6963315,-0.015080056,0.938418,1.0935289,-1.1819404,-1.233147,-0.96260506,1.4434253,-0.35786536,1.0982744,-0.7306656,0.32213885,0.7661919,-1.1413236,-1.0433377,0.6226646,0.5453088
Subject_18,0.8395548,1.0149158,0.31628397,-0.77177316,-0.8161667,0.9103086,-0.020191621,0.7859017,-1.1505443,-0.9490984,0.1608155,1.3236879,0.6183753,0.98743063,-0.38070467,-0.3080014,-0.75678265,0.85081095,-0.7859624,0.53586084
Subject_19,1.1253204,-0.6551013,-0.2931585,-0.7339954,0.94397056,0.6822399,-0.6289618,-0.6905688,1.2013173,-0.541723,-1.0798457,0.81883806,-1.1878585,-0.54473144,-1.2398363,0.09372509,1.089498,1.1042689,1.0278214,0.95575935
Subject_20,0.3310924,1.0648614,0.8495614,-0.54926795,-0.66660786,1.040875,-0.8141055,0.48109558,-0.96766716,-1.0200475,-0.3473724,-0.37967518,-0.5350213,0.8451281,1.3465018,0.26771453,1.1585158,0.60117996,-0.95520586,-1.0661968
Subject_21,-0.7256707,-0.7963361,0.67798114,-0.89310426,-0.3482472,-0.45484862,1.0752678,-0.6754001,0.5299983,-0.9388398,0.88506883,-1.2068573,1.0218883,0.016266333,1.2478493,0.9350219,-0.8547725,0.9352055,0.91083825,0.39901087
Subject_22,-0.66034263,1.0039315,0.8227925,-1.0571535,-1.1085131,-0.5839392,0.83800155,1.0932633,-0.792516,-0.6972413,0.22820573,0.013894137,-0.31475005,1.0900989,1.2127199,-0.36835104,0.8852599,-0.5557462,0.48003963,-0.46081552
Subject_23,0.557589,0.7646182,-1.0198052,0.7737419,0.3421882,0.77989453,-0.7091767,-0.5227018,0.79930305,-0.81956464,0.1825066,0.09864846,0.5895695,-0.34463304,0.62318355,0.3300773,0.96005887,0.6776746,0.9629607,1.0857852
Subject_24,-0.5662661,0.71889246,0.4187158,0.18592979,-0.7418527,1.2439835,0.60550976,0.99819314,-0.82826686,-0.5784711,-0.06369342,0.531377,-0.21536008,0.87080604,0.53178847,-0.8299084,0.8859293,0.16763219,-1.2315576,1.0091734
Subject_25,-0.69875413,-0.39777118,0.9364502,-0.30322456,1.0803188,-1.1847588,0.87284666,-1.3615986,-1.2164837,-0.8321093,0.52669626,1.1002103,0.45714307,-1.106363,0.88597155,-0.85481036,-0.1966947,0.7611619,0.5788085,0.9778535
Subject_26,-0.8687692,0.6193303,-1.4921876,-0.8595951,-1.151075,0.4956865,1.1812252,-0.06487267,-0.5980037,0.91966885,0.94906425,0.20840119,0.40683413,-0.41319385,0.51960963,-0.9197574,-0.061274502,-0.5564228,-1.0288842,0.871533
Subject_27,0.19402401,-1.1622934,-0.65938634,0.6872288,0.37505418,-0.7616934,-0.9016756,1.0006757,-0.64910734,-0.58707774,-0.47239983,0.06549925,0.39696848,0.07424535,-0.076635726,0.020619107,0.14595649,-1.1574552,-1.1765672,0.96285915
Subject_28,-0.2731739,-0.947766,0.6475078,0.81417334,-1.0370243,1.0138233,1.1114359,0.8301932,-0.79210454,-0.8809413,1.1257619,-0.42980635,0.82322466,-0.6488975,1.1834879,0.18996777,-0.13104156,0.64531827,0.6148919,-0.9709439
Subject_29,0.6738221,-0.97927964,0.13260132,0.045939136,-0.87010777,0.9071379,-0.9878562,-0.80958897,1.1178263,-0.79375875,-0.6920246,-0.40071607,0.65379256,-0.6614151,0.78864664,-0.6567472,-0.12399273,-1.0403693,-0.8270142,-0.97491276
Subject_30,-1.0625042,0.5811331,0.84250206,-0.715095,-0.75633204,0.7263238,0.39697996,-1.1664541,-1.1880845,0.16688505,0.5603318,-0.018598659,0.70085377,-0.98560554,-0.9064668,-0.098517135,-0.041722637,-0.967615,0.2342864,0.40040427
Subject_31,-0.22830664,-0.7806518,1.1021563,-0.9915405,0.9906781,1.0124999,0.84190077,-0.7679341,1.035115,-0.31117275,-1.5731941,0.7180659,0.11592451,0.5486551,-0.7616351,0.9826453,0.5326235,-0.34564233,0.24763632,1.0317281
Subject_32,-0.8171747,0.76016355,-0.5463745,0.22559057,0.25546038,-1.097492,0.2640868,-0.8791737,-0.97837067,-0.5274502,0.6263787,-0.44075644,0.8864209,-0.75426406,1.015732,1.0195637,-0.86743623,0.7854001,0.29012445,0.1854987
Subject_33,-0.9952396,-0.5889203,-0.5718973,0.111526705,-0.8403161,0.4481021,0.9632784,0.93055904,-0.53155464,0.9886368,1.8748741,-1.0496552,1.1918976,-1.1063312,1.9235673,0.81443006,0.29447758,-0.7190909,-0.054729663,-0.35774267
Subject_34,0.32445747,0.9555066,-1.3311236,0.82895815,0.399803,1.0204341,-0.6981558,0.60982263,0.81136197,0.6583098,-0.690551,-0.6815796,1.1117625,0.6398662,-0.88073367,0.8359612,0.2693912,-0.8689906,-1.0218718,-0.47464296
Subject_35,0.7388453,0.37683538,0.20902114,0.7644767,-0.83535075,-0.9749656,0.6965796,1.263359,-0.5471417,-0.53013104,-0.5175786,1.2200959,-0.93054676,1.0314044,0.6476048,0.9398835,0.72126395,-1.212827,0.43690994,1.3709593
Subject_36,-0.27547398,0.7218713,-1.0595578,0.73713154,-0.8126259,-0.1439671,-0.48169243,0.9520031,0.87658525,0.83595467,-0.027364828,-0.53523767,-0.09222183,-0.13869241,0.6580952,-0.57113624,0.23493534,-0.76113474,0.04591861,-0.00468974
Subject_37,1.6286217,0.8112704,0.74781114,0.10222351,1.0672154,-1.1700122,0.63455313,0.7955742,-0.15476307,0.094308905,0.66497886,1.0341698,-0.9497901,0.8186868,-0.6008538,-1.0050694,-0.71893287,-0.9390883,1.2000853,0.6645257
Subject_38,1.285361,0.6639474,1.1994755,-0.8371304,-0.37322488,-0.21763447,-0.5164409,-1.1284311,-0.94478077,1.1491517,-1.3432664,0.74931216,-0.5903635,0.55710924,-0.7137581,-0.39619383,0.47511482,0.5515819,1.1490221,0.34743467
Subject_39,-0.7434534,-0.9379297,-0.016990935,0.14491218,-0.49851897,-0.7978992,1.1191785,-0.40744734,-0.69386846,-1.1153415,0.6037716,-1.1150233,-0.55058515,0.8103103,0.9650783,0.75741035,-0.2981725,1.0419605,0.76074255,0.033211388
Subject_40,0.29072413,0.6817278,-1.1436473,0.39935791,0.975383,-0.8637664,-0.7928955,1.1915952,0.04581158,-0.74785113,0.57331485,0.16045968,0.8457461,-0.60427815,0.77564263,-0.964726,-0.23556283,0.31709102,-0.5641277,0.6304019
Subject_41,1.0966535,0.842741,0.0180142,-0.9644705,0.88009256,0.8652529,-0.8092454,-0.6390106,0.9894322,-0.091977976,-1.8717543,0.07735202,-0.72606355,0.50850314,-1.1411486,-0.52768594,0.9086199,0.23522338,0.7113284,-1.2481557
Subject_42,-0.12103042,-1.1011571,-1.6076515,-0.5866991,0.5035602,0.43957216,-0.57322425,1.0649213,-1.088342,0.72990614,-0.42566562,0.26067677,0.15655945,-0.9810871,-0.6959764,0.08273296,0.87942743,-1.0230515,-1.0727218,-1.1674498
Subject_43,-0.28960985,-0.46853036,0.3743102,-1.0805101,-0.40756828,0.45885298,1.3722879,0.43860507,0.5214784,-0.75829625,0.06479488,0.27247345,1.0453466,-0.3580966,0.61838233,1.0988321,0.94737625,0.8699396,0.48335555,0.4251052
Subject_44,0.58781713,0.17784466,-1.2693552,0.12725061,0.64758354,-0.725169,-0.22172946,-0.66170114,0.95435494,0.63921046,-1.34469,0.93849355,-1.1029037,-1.2153212,-0.7619796,-0.45766044,-0.6783994,0.3643312,-1.601575,0.6940702
Subject_45,0.6648193,1.2424868,0.8729999,0.7535274,0.25137806,0.7086147,-0.84241617,0.5476323,1.2016134,0.60248554,0.44361094,0.53608245,0.58234584,0.09484387,-0.7120517,0.43081206,0.9307551,1.0148941,-1.0327882,0.8439867
Subject_46,-0.25803143,-1.0715595,-0.74437076,1.0861899,-0.737813,-0.95375925,0.6540549,0.40636015,-0.7832016,-0.6482653,-0.8931273,0.6366864,-1.3197916,1.076625,0.48679522,0.050282177,-0.82786894,-0.5373372,-0.6333836,0.76239693
Subject_47,-0.3985016,-0.6735648,0.5749828,1.1974643,0.95652515,-0.76078224,-0.36206415,0.63206923,-0.19977176,0.4474547,0.23728803,0.28820175,-0.58194053,0.1570983,-1.19437,0.40023682,-0.6693422,0.63550407,0.7942428,-0.6131043
Subject_48,0.17906874,1.109929,-0.01575428,0.7634426,0.26825845,-0.030731719,-0.5298265,0.3372168,-0.91256815,-0.05520388,-0.31261763,0.90877587,0.63442606,-0.8769418,1.0663688,-1.0738863,0.6392366,-1.0194147,-0.72196746,-0.79006654
Subject_49,1.2892976,0.009165975,0.39097866,-0.71790713,0.7938408,0.9421488,-0.42415634,0.72482663,0.49796006,-0.08826805,-1.3190699,0.06680973,-0.69950104,-0.328505,-0.52067655,0.4194975,0.91414344,-0.93769234,-0.99618053,-0.9502783
Subject_50,-0.80935913,-1.0432197,-0.077856064,0.8194088,-0.2811636,-0.69727594,1.0655861,-1.1585256,-1.039026,-0.59771496,0.732622,-0.29383498,1.1639729,1.0073013,0.81788766,0.2647165,-0.35615882,0.8716214,0.988416,0.865073
Subject_51,-0.5295579,-0.890508,-0.6493325,0.14905502,-0.63713884,-1.275716,0.9245203,0.8767824,0.9052401,0.94306296,0.53557545,-0.5468502,0.97162217,-0.63981324,1.4172153,1.2492064,0.026419226,0.54593104,0.66491044,0.49883318
Subject_52,-0.7246772,1.1583402,0.6558203,-1.0253978,-0.76074076,0.4190498,0.5926643,-0.59788954,-0.9795783,0.5666072,0.9669563,-0.7920678,1.1377014,0.5756361,0.463381,0.7230762,-1.0359288,1.0529783,0.99833125,0.5886763
Subject_53,-0.3867601,0.93078727,-1.4060627,-0.8605131,-0.796166,0.7104631,-0.24015029,-0.027445577,1.0999644,-0.8265372,-0.85404646,0.47836497,-0.34718555,1.0697863,-0.6452749,-0.61328906,-0.95423484,1.0690206,-0.91396445,0.9105245
Subject_54,0.5527405,0.84213257,0.33423856,0.8098772,1.130869,0.73949575,-1.1666293,1.3490986,0.88122344,-0.8519768,0.46826816,-0.68969506,-1.027967,1.0075213,-0.58142877,-0.747564,0.9479327,0.3618646,-0.27884626,-0.97763926
Subject_55,-0.1732314,-1.0731635,0.85994864,0.83980703,0.9038907,0.88298434,0.5427381,-0.9436924,-0.78400224,-1.0996445,-0.1733273,-0.67230743,-0.30868277,0.98869663,0.59305054,0.8356873,-0.4446283,1.1839936,0.55808544,0.49148425
Subject_56,-0.06400991,-0.5577367,1.0858732,-1.093809,0.3720147,-0.9667784,1.2528341,-0.39166367,0.36320543,-0.9589248,-0.4796415,0.38981664,-0.09429179,-0.34786147,-1.5064338,0.36136073,0.8302206,-0.52788496,0.92252654,0.9856646
Subject_57,0.7579751,-1.1897881,0.63687336,-0.8163901,0.45194012,0.23069385,0.8009838,1.0908504,0.13927597,0.20309094,-1.3043842,-0.34912688,-1.3536619,0.13188031,-1.0105425,0.48784822,-0.20831889,-0.2985998,0.7945133,0.6284244
Subject_58,1.444214,-0.8642409,-0.8625253,0.8554701,1.1620817,-0.10408034,-1.1945623,0.75755787,0.68350816,-0.7023688,-0.071072355,-0.58051383,-0.6412352,0.6031374,-0.23235756,-0.73343486,-0.21611118,0.116782226,-0.0061999084,-0.30051085
Subject_59,0.9662338,0.80530584,1.3373952,0.6533063,0.6118538,-0.75269186,0.7322781,-0.2937717,0.8436853,0.19752185,-0.09349227,-1.0470258,-0.8686458,1.0048363,-0.91587925,-0.24802905,-0.6699889,0.454956,0.95124614,-1.0194482
Subject_60,0.27648416,-1.2412778,-0.29226348,1.1531992,-0.29280385,-1.1960782,-0.693938,-0.271375,0.75857085,0.86228114,0.7241779,-0.67787004,-0.3244919,-0.95687544,0.9729803,-1.0427169,-0.7594897,1.3510054,1.0237173,-0.84272754
Subject_61,-0.87069243,1.2119763,-0.07470305,1.1859927,-0.4997827,0.21846323,-1.0376035,-0.91499126,-0.8353738,0.72435254,0.8295816,-1.0019523,1.0057563,-0.400387,0.8232779,0.42732236,-1.0283859,0.7732905,-0.7835825,0.018195627
Subject_62,0.5323222,0.46347126,-1.1026008,1.0565797,-0.12974198,0.51975626,-1.2688016,0.8287446,-1.1537625,0.31624463,0.82775056,-1.3808448,0.8392799,1.0449827,1.0069668,0.28703812,0.7194592,-0.4906539,-0.3360981,0.8070803
Subject_63,1.0528357,0.23421371,-1.0622058,-0.9910362,0.71243465,1.1901652,-1.0758117,0.9596156,-0.33913392,-0.5073075,-1.9223777,-0.19124499,-1.05877,0.36309326,-0.8903598,0.9984985,0.37083626,-1.2730287,-0.15634635,-1.1132479
Subject_64,-0.92361873,0.96684766,-1.1476153,0.39664385,-1.1677907,-1.0797364,-0.6713916,-0.7751487,-0.5982567,-0.62099034,-0.058349364,0.70036733,1.0764372,-0.51874274,0.63040817,0.66610634,-0.8729744,-1.4826808,-0.49868593,0.79308665
Subject_65,-1.2181656,-0.4328866,-0.79571426,1.0355166,0.37282908,-0.47637022,0.8354821,1.0914005,0.60653645,0.68151885,-0.24901567,-1.0731746,0.28766862,-0.9317227,-0.6136596,0.34928662,-0.363245,-0.7031534,-1.2964339,0.29050165
Subject_66,0.8669206,-1.0629226,0.7220317,-0.94860977,-0.28851053,-0.6451586,1.1948586,-0.7478807,-0.98881817,0.7911469,-1.3925831,0.8122437,0.21783218,0.7182582,-0.64224666,-0.2879424,0.11699289,-1.0796165,-1.013425,-0.6040128
Subject_67,-1.0554414,0.5806224,0.63026214,0.8024141,-0.9988765,0.5056607,0.64668053,0.68570524,-0.8919205,-1.1907134,1.5722376,-1.5846578,0.8206986,-0.8326988,0.78425884,-0.81883174,-0.94928944,1.0418258,-0.61119074,-0.3630196
Subject_68,-0.9632136,-0.59836376,0.3315765,0.22015826,-0.18016483,-0.15433489,0.84825927,-0.98670214,-0.9394284,0.19034013,1.1172347,-0.9042914,1.010935,-0.9411343,0.8584269,0.1353826,-0.99639577,0.6767976,0.7626579,0.73605436
Subject_69,0.11372963,-0.7125952,-0.052978594,-0.91096073,0.0946064,0.7496487,1.684161,-0.6815605,1.0193934,-0.014748937,-0.9553521,-0.48592353,-0.18907917,0.59442693,-0.850673,-0.6758687,0.7184066,-0.52522254,-1.6093647,0.56702536
Subject_70,-1.4184232,-0.387087,-1.0397238,0.7234808,0.5579456,1.2897338,-0.7121228,1.1692997,0.6848541,0.9272822,-0.82222056,0.37244505,-0.61438006,-0.4888263,-0.50610816,0.9632447,0.7716024,-1.1356798,-0.92372066,-0.77785534
Subject_71,0.4333488,-0.5355041,0.66119576,-0.81272846,-0.32368633,-1.0030941,0.3247067,-0.92024714,0.93327457,-0.8165544,-0.63064885,-0.6590123,1.0481697,-0.22027245,0.3646443,-1.026169,1.1882753,-0.9490733,0.9113709,-1.0351988
Subject_72,0.31978408,0.9843278,0.6086207,0.67276084,-0.2838497,-0.9919396,0.55258507,0.2031798,-0.29854578,0.66747046,0.1892358,-1.1135063,0.9024662,1.0785168,0.16469343,0.7588354,0.62107927,0.12404033,0.69509053,0.8687001
Subject_73,0.97948027,-0.67106414,-1.1833845,0.86129385,0.6927102,-0.8381703,0.4394052,0.73078406,0.79046255,1.082181,0.39683905,0.42314228,1.0302838,-0.8423029,0.90948784,0.9687783,-0.5704656,-0.060733896,0.46974027,0.57997394
Subject_74,-0.38259676,-0.44305125,-0.18458381,-0.7365988,0.5188663,-0.95286864,0.96487534,-1.172988,-0.7861543,-0.68528366,0.17298791,-0.402325,1.229402,0.73136336,-0.4814946,-0.60211325,0.40837142,0.608973,-0.93973523,0.41207954
Subject_75,1.0086226,0.93261695,-0.9580062,0.97841364,0.8158173,-0.87538767,-0.6410955,1.1693612,-0.029708443,0.30697817,0.0808822,0.64443004,-1.0905533,0.7469013,0.81817454,0.41133353,-0.9563151,0.42201078,-0.69118524,-0.94668114
Subject_76,0.8112523,-0.4171349,-0.64535666,-0.1421571,0.71800375,-0.41643533,-0.79651606,-0.91475767,0.8797329,-0.1436534,-0.8708916,1.099778,-0.6174076,0.9067793,-0.77095103,-0.469322,-0.8079407,0.40177506,-0.99782574,1.1536441
Subject_77,-0.48156562,0.9621449,0.9403119,-1.2318068,0.9212018,0.7651972,0.26662916,-1.3017896,0.8352418,1.1765276,-0.5161575,-0.84865475,-1.3698455,0.35912022,-1.0514337,0.9901333,0.648518,0.15709005,0.69854033,0.5099535
Subject_78,-0.70994055,0.07922651,0.780251,0.20114332,-0.3549868,0.47808987,0.65459055,-1.0186332,-0.89064336,-0.9941529,2.4079354,1.553841,0.95135456,0.82827926,1.5192121,0.60622716,0.1233873,1.0876896,-0.43612665,-1.207102
Subject_79,-1.4460857,1.0712374,-0.53440017,-0.6131746,0.69953007,0.5069969,1.1644816,1.3358446,1.0431007,1.208844,-1.4318786,0.7842692,0.6376365,0.90414596,-0.90766734,1.2870446,1.2292444,-1.0380617,-1.0338248,-0.11278857
Subject_80,-0.7386256,0.89350194,-0.07559829,0.272658,1.1213322,0.0010476272,-0.67020845,-0.3806089,0.9903029,0.85415447,-0.9026982,-1.1235064,-0.768269,-0.22688344,-1.3202599,0.07828629,0.9313566,0.30662987,0.6257366,-1.1080648
Subject_81,-0.8444554,-0.05004458,0.77198863,0.84273726,-0.4650431,-0.6256156,-0.27566767,-0.9407982,-1.132263,-0.6760874,1.2683293,-0.9980304,1.5950832,-0.55615485,0.8446077,1.1977092,-0.11043543,0.6719373,0.55190605,0.55644333
Subject_82,-0.9565987,0.59103936,0.4895793,0.15747745,-0.11424948,-1.0120344,0.6826856,-0.18386814,-0.62536865,-0.84224194,1.3995332,-0.8346422,1.2071867,-0.7002053,0.23847651,0.23572682,-1.1038996,1.079939,0.27853873,-0.73791033
Subject_83,-0.676724,0.97735816,0.59882027,0.15127583,0.39641064,0.14201309,0.5207682,-0.82625663,0.9107758,0.9278716,-0.4989957,-0.56284595,-1.1114445,0.61219984,-0.5261187,-0.9433063,0.5340529,0.17245927,0.8592349,-0.6840635
Subject_84,0.20433824,0.8088695,0.8283325,-0.97910523,-0.88827217,1.0454254,-0.90447205,-0.9272273,-0.38996324,0.99265426,-1.2238128,-1.1107521,0.7706626,-0.34981948,-0.9558548,1.1549742,-0.19193006,0.7711592,-0.48021424,-0.66997266
Subject_85,1.129694,0.9146666,0.86891013,1.0228503,-0.42804417,-0.85438687,0.8952575,0.26490772,0.49773577,-0.75410575,0.76132315,0.79408205,0.03064353,0.12700878,0.53247046,-0.012167529,1.5906025,-0.12828034,-0.34436518,1.1392516
